ID,abc_sum_tonne_km2_2010,ID,bgc_sum_tonne_km2_2010,ID,abc_sum_tonne_km2_2050,ID,bgc_sum_tonne_km2_2050,ID,soc_sum,Name,abc_sum_tonne_km2_difference,abc_sum_tonne_km2_difference_annual,bgc_sum_tonne_km2_difference_annual
1,3745842.05078125,1,3042002.7389586,1,730675.25088501,1,588528.709259033,1,1229566.11303711,Doro,3015166.79989624,75379.169997406,61336.8507424891
2,8554768.32885742,2,8233795.64705491,2,2091112.61228943,2,2159959.19670105,2,2320511.37597656,Swaga Swaga Game Reserve  -  19,6463655.71656799,161591.3929142,151845.911258847
3,10505070.6416016,3,15364241.4992511,3,0,3,0,3,2489172.98388672,Masanza,10505070.6416016,262626.766040039,384106.037481278
4,2555961.00708008,4,4571263.38253021,4,3826214.36108398,4,6790292.82128906,4,1286232.00341797,Welgevonden,-1270253.35400391,-31756.3338500977,-55475.7359689713
5,358054.212219238,5,516252.862477303,5,79445.8952503204,5,103371.368326187,5,363322.658691406,Mashi,278608.316968918,6965.20792422295,10322.0373537779
6,659231.941711426,6,910858.31720829,6,78349.8580551147,6,104906.726364136,6,556061.857177734,Mashi,580882.083656311,14522.0520914078,20148.7897711039
7,33098241.1505127,7,32689465.022999,7,6887018.67321777,7,6883393.28617859,7,12395156.8588867,Kainji Lake,26211222.4772949,655280.561932373,645151.793420512
8,44270632.6278076,8,42794156.4059734,8,9293644.65174866,8,9071919.07263184,8,16904925.6337891,Zugurma,34976987.976059,874424.699401474,843055.93333354
9,55151.9038085938,9,32935.9833836555,9,0,9,0,9,47676.8203125,Enduimet WMA,55151.9038085938,1378.79759521484,823.399584591389
10,788203.79888916,10,1295100.80205202,10,0,10,0,10,915688.183105469,Lolkisale GCA,788203.79888916,19705.094972229,32377.5200513005
11,12488863.8581543,11,20396098.4018922,11,0,11,0,11,6413749.0546875,Kitwai GCA,12488863.8581543,312221.596453857,509902.460047305
12,209894.497802734,12,264331.594514847,12,62468.7731933594,12,78743.4390869141,12,96622.8505859375,Lake Natron GCA,147425.724609375,3685.64311523437,4639.70388569832
13,2195439.40087891,13,3875250.71689487,13,0,13,0,13,1485933.65332031,Ruvu Masai GCA,2195439.40087891,54885.9850219727,96881.2679223716
14,448942.905273438,14,394108.797389269,14,0,14,0,14,288078.646972656,Landanai GCA,448942.905273438,11223.5726318359,9852.71993473172
15,2140035.44519043,15,2612453.381598,15,0,15,0,15,1946004.70947266,Simanjiro GCA,2140035.44519043,53500.8861297607,65311.3345399499
16,44798961.1055908,16,65809606.7097962,16,0,16,0,16,18420653.3188477,Makame WMA,44798961.1055908,1119974.02763977,1645240.1677449
17,24933545.7665405,17,24838157.3289633,17,0,17,0,17,12249626.2529297,Makame WMA,24933545.7665405,623338.644163513,620953.933224082
18,22558778.6330566,18,26353696.27648,18,3027505.88761902,18,3103958.38374329,18,5616177.80908203,Swagaswaga G.R,19531272.7454376,488281.818635941,581243.447318417
19,46208059.6413574,19,31260776.77145,19,11154815.9259338,19,8493666.46696472,19,10305520.2492676,Rungwa (N) O.A.,35053243.7154236,876331.09288559,569177.757612133
20,63676198.1999512,20,109089068.699241,20,0,20,0,20,18229967.1672363,Makame WMA,63676198.1999512,1591904.95499878,2727226.71748102
21,3790878.125,21,4542449.77837801,21,1127555.22802734,21,1403252.9899292,21,1336751.77490234,Chaya O.A.,2663322.89697266,66583.0724243164,78479.9197112203
22,160931327.902466,22,109313289.705485,22,35941066.6554298,22,23492206.5083199,22,35137784.8930664,Nyahua Mbuga,124990261.247036,3124756.5311759,2145527.07992913
23,3538410.73168945,23,6425167.36555099,23,0,23,0,23,2037988.12060547,Makame WMA,3538410.73168945,88460.2682922363,160629.184138775
24,2610259.85107422,24,959002.87797451,24,375766.504699707,24,131000.02885437,24,1206079.11767578,Namanga Hill,2234493.34637451,55862.3336593628,20700.0712280035
25,41528388.6398926,25,21293682.6577842,25,11348768.1385975,25,9218353.82658339,25,34042944.6884766,Northern Highlands,30179620.5012951,754490.512532377,301883.220780021
