ID,abc_sum_tonne_km2_2010,ID,bgc_sum_tonne_km2_2010,ID,abc_sum_tonne_km2_2050,ID,bgc_sum_tonne_km2_2050,ID,soc_sum,Name,abc_sum_tonne_km2_difference_annual,bgc_sum_tonne_km2_difference_annual
1,12734619.7572021,1,21748008.0100098,1,1574566.62316322,1,2660875.91924667,1,4014298.32666016,,279001.328350973,477178.302269077
2,5993177.86157227,2,4553234.6998291,2,805111.461406946,2,638885.231964111,2,1896275.91894531,,129701.660004133,97858.7366966248
3,6554044.08105469,3,8212110.91210938,3,0,3,0,3,1656613.74658203,,163851.102026367,205302.772802734
4,1813762.18457031,4,3372902.17773438,4,432435.641360283,4,816438.168807983,4,653142.188964844,,34533.1635802507,63911.6002231598
5,5513715.05786133,5,9236042.54248047,5,569978.294557333,5,980646.897918701,5,1039738.87280273,,123593.4190826,206384.891114044
6,6820777.97094727,6,4765251.02319336,6,799804.969388247,6,556289.513671875,6,1868672.57641602,,150524.325038975,105224.037738037
7,19408527.5136719,7,9547434.71673584,7,3364550.38484335,7,1656749.17623901,7,2938196.20849609,,401099.428220713,197267.138512421
8,524866.697265625,8,529934.647460938,8,45189.5237028599,8,43123.2117156982,8,230204.531738281,,11991.9293390691,12170.285893631
9,1201665.45092773,9,1319746.51965332,9,49241.8257296085,9,59676.0058479309,9,495134.184082031,,28810.5906299531,31501.7628451347
10,14557618.6784668,10,10306762.427002,10,1925216.62270427,10,1391182.61170197,10,3132006.6472168,,315810.051394063,222889.4953825
11,8796323.97338867,11,7679106.26739502,11,780082.863116264,11,694933.579755783,11,4246944.93725586,,200406.02775681,174604.317190981
12,2399584.79150391,12,2124921.71118164,12,242073.01722765,12,226266.651695251,12,956017.680908203,,53937.7943569064,47466.3764871597
13,3680611.97412109,13,3120710.61071777,13,243092.141580582,13,201012.38571167,13,1162969.37353516,,85937.9958135128,72992.4556251526
14,3170028.18896484,14,2965887.24731445,14,413066.928303242,14,380294.3151474,14,1523019.74194336,,68924.0315165401,64639.8233041763
15,34675649.2631836,15,62787093.3327637,15,8014052.4338305,15,15008174.6926765,15,6486850.90673828,,666539.920733827,1194472.96600218
16,28673323.0917969,16,43044061.3931885,16,3395170.65268159,16,5500485.59101105,16,5285794.02270508,,631953.810977882,938589.395054436
17,13148757.2528076,17,12135423.7122192,17,1389771.60519361,17,1305720.95472312,17,5567479.77636719,,293974.64119035,270742.568937403
18,6569356.55664062,18,7377467.43896484,18,619236.123096943,18,692024.417236328,18,2427333.42456055,,148753.010838592,167136.075543213
19,14221896.5766602,19,18094210.6397095,19,641230.955195427,19,833395.336300373,19,3795182.46899414,,339516.640536618,431520.382585227
20,13915371.7048264,20,23670256.5896454,20,6444351.45066977,20,11170173.5463157,20,7283956.08862305,,186775.506353915,312502.076083243
21,21870583.8118668,21,35971505.8455353,21,2739335.76586843,21,4495986.28473282,21,6896544.76782227,,478281.201149958,786887.989020061
22,6008879.42236328,22,8038411.97949219,22,6826555.94363809,22,9314425.88037109,22,2350839.07958984,,-20441.9130318701,-31900.3475219727
23,6638823.34020996,23,11423572.0793457,23,665415.107661486,23,1174055.64641142,23,1939802.36962891,,149335.205813712,256237.910823357
24,6624000.80322266,24,3870855.35449219,24,1161507.80702233,24,625972.947021484,24,1974519.94897461,14,136562.324905008,81122.0601867676
25,89916.96875,25,95801.3017578125,25,342469.022250175,25,354545.942871094,25,93053.1640625,Afdem-Gewane,-6313.80133750439,-6468.61602783203
26,12888969.5292511,26,13939118.2681122,26,4877955.29420376,26,5326490.24388409,26,6358592.07373047,Akagera,200275.355876184,215315.700605702
27,21582067.6081543,27,35185228.4042969,27,3666719.58225369,27,6216031.50776672,27,11607530.8378906,Akobo,447883.700647515,724229.922413254
28,10732414.4369507,28,18155201.5255127,28,302186.543697119,28,514152.040324688,28,8561692.27661133,Alatish,260755.697331339,441026.2371297
29,609174.255615234,29,500847.102294922,29,1088827.65064836,29,921370.973144531,29,403264.39453125,Alledeghi,-11991.334875828,-10513.0967712402
30,2377350.5859375,30,751124.501708984,30,0,30,0,30,721991.072753906,Amani,59433.7646484375,18778.1125427246
31,28496.1767578125,31,42912.4919433594,31,0,31,0,31,40096.8461914062,Amboseli,712.404418945312,1072.81229858398
32,0,32,0,32,0,32,0,32,0,Anabeb,0,0
33,0,33,0,33,0,33,0,33,0,Arawale,0,0
34,380336.710327148,34,561897.750244141,34,242806.727433205,34,362195.623733521,34,315227.282714844,Arly,3438.24957234859,4992.5531627655
35,380336.710327148,35,561897.750244141,35,242806.727433205,35,362195.623733521,35,315227.282714844,Arly,3438.24957234859,4992.5531627655
36,272096.022583008,36,456637.379150391,36,65659.2792034149,36,107031.6132164,36,263937.448486328,Arly,5160.91858448982,8740.14414834976
37,272096.022583008,37,456637.379150391,37,65659.2792034149,37,107031.6132164,37,263937.448486328,Arly,5160.91858448982,8740.14414834976
38,8668930.79467773,38,3243180.07495117,38,0,38,0,38,3915464.0390625,Arusha,216723.269866943,81079.5018737793
39,0,39,0,39,0,39,0,39,0,Astra Ranch,0,0
40,1673025.57194519,40,2370028.18972778,40,994460.668569803,40,1470281.53514099,40,3837343.06713867,Atakora,16964.1225843847,22493.6663646698
41,6100498.265625,41,4596305.0546875,41,5808353.53732705,41,4380943.64453125,41,871750.015869141,Avakaba Presidential Park,7303.61820744872,5384.03525390625
42,0,42,0,42,0,42,0,42,0,Awash,0,0
43,1848715.21520996,43,1432489.93017578,43,4185018.85620356,43,3401044.40209961,43,678394.629150391,Awash West,-58407.5910248399,-49213.8617980957
44,1848715.21520996,44,1432489.93017578,44,4185018.85620356,44,3401044.40209961,44,678394.629150391,Awash West,-58407.5910248399,-49213.8617980957
45,0,45,0,45,0,45,0,45,0,Awash West,0,0
46,0,46,0,46,0,46,0,46,0,Awash West,0,0
47,19564938.9940491,47,14273519.4353943,47,0,47,0,47,6472328.14428711,Awer,489123.474851227,356837.985884857
48,1186778.10058594,48,354026.662109375,48,0,48,0,48,461259.668945312,Baga I (Mzinga),29669.4525146484,8850.66655273438
49,98499.685546875,49,33901.43359375,49,0,49,0,49,38049.1611328125,Bagai,2462.49213867188,847.53583984375
50,317854.865234375,50,107570.112792969,50,0,50,0,50,128514.817382812,Balangai West,7946.37163085937,2689.25281982422
51,672351.595703125,51,1280081.96875,51,52370.6882297993,51,97829.6439056396,51,302001.393798828,Balyerwa,15499.5226868331,29556.308121109
52,234385.625976562,52,63368.6318359375,52,0,52,0,52,68457.4633789062,Bamba Ridge,5859.64064941406,1584.21579589844
53,889361.352294922,53,1193369.37109375,53,122543.510127068,53,159049.204860687,53,764115.032958984,Bamunu,19170.4460541964,25858.0041558266
54,917491524.595703,54,228041288.071777,54,877869451.854575,54,218140265.399414,54,55264099.3515625,Bangassou,990551.818528211,247525.566809082
55,71414327.2174072,55,61599150.4941406,55,13779808.6773872,55,16188329.8393021,55,13693339.689209,Bangweulu,1440862.9635005,1135270.51637096
56,0,56,0,56,0,56,0,56,0,Bassi,0,0
57,338038.549682617,57,581730.275512695,57,0,57,0,57,318937.864501953,Batanai,8450.96374206543,14543.2568878174
58,27344793.8057861,58,46827394.9977417,58,4636799.28023219,58,7839473.90215683,58,7616215.23120117,Bawa,567699.863138849,974698.027389622
59,4810134.63842773,59,4156535.00402832,59,3429394.58066225,59,2991441.352005,59,1198368.1940918,Bel Eland,34518.5014441371,29127.3413005829
60,19815545.0783691,60,16112744.9736328,60,7079455.81914783,60,5670710.5039978,60,5294789.99658203,Benoue,318402.231480533,261050.861740875
61,1667153.40820312,61,517586.915039062,61,283498.787838221,61,87341.3284301758,61,343089.878417969,Bereku,34591.3655091226,10756.1396652222
62,18503752.9951172,62,12141725.2563477,62,12244891.6006088,62,8124679.61310577,62,4271593.17626953,Biharamulo,156471.534862709,100426.141081047
63,32893320.5405273,63,22734948.7017212,63,12408492.4168348,63,8578989.2278595,63,7474628.26245117,Biharamulo,512120.703092313,353898.986846542
64,10062429.8323975,64,10212807.0746765,64,7001046.48905396,64,7788593.14609528,64,9276176.07006836,Bilili,76534.5835835874,60605.3482145309
65,341356.584716797,65,584674.115234375,65,86737.4757170677,65,149284.516113281,65,165136.945556641,Bilili Springs,6365.47772499323,10884.7399780273
